relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyTotalQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx,sourceSeeds
형사전문변호사,5590,7100,12690,9.7,32.2,0.19,0.48,10,높음,모욕죄 변호사
이혼서류,3150,8780,11930,3.4,42,0.12,0.52,10,높음,재산분할 변호사
대구변호사,2690,7970,10660,6.4,27,0.27,0.37,10,높음,창원 변호사
부산이혼전문변호사,4030,6390,10420,4.8,42,0.14,0.69,10,높음,창원 이혼 변호사
명예훼손,2230,8180,10410,1.9,27,0.09,0.36,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
형사소송법,5620,4750,10370,2.1,8.8,0.04,0.2,10,높음,모욕죄 변호사
사실적시명예훼손,1900,7960,9860,0.6,14.4,0.04,0.2,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
부산형사전문변호사,2470,6070,8540,0.4,10.8,0.02,0.19,10,높음,창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 형사 변호사 | 창원 변호사
부산변호사,2890,5440,8330,3.6,27.4,0.14,0.53,10,높음,창원 성범죄 변호사 | 창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
상속재산분할,1580,6700,8280,3.5,79.2,0.24,1.28,10,높음,재산분할 변호사
마약전문변호사,1570,6670,8240,2.3,13.6,0.16,0.22,10,높음,마약 변호사
인천변호사,2060,5750,7810,1.5,14,0.08,0.26,10,높음,창원 변호사
사실혼,2350,5310,7660,0.4,9,0.02,0.18,10,높음,재산분할 변호사
수원변호사,2790,4830,7620,4.9,22.8,0.19,0.5,10,높음,창원 변호사
합의이혼서류,2090,5200,7290,3.1,66.4,0.17,1.37,10,높음,재산분할 변호사
모욕죄,1240,5450,6690,1.3,27.2,0.12,0.53,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
이혼재산분할,2370,3870,6240,1.4,23.4,0.07,0.65,10,높음,재산분할 변호사
대전변호사,1950,4210,6160,4.2,28.2,0.23,0.7,10,높음,창원 변호사
상속재산분할협의서,2880,3230,6110,2.6,14.6,0.1,0.49,10,높음,재산분할 변호사
이혼절차,1670,4420,6090,1.7,30.6,0.12,0.76,10,높음,재산분할 변호사
모욕죄성립요건,960,5070,6030,4.9,96,0.55,2,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
명예훼손죄,840,4870,5710,3.5,57.2,0.44,1.25,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
대구이혼전문변호사,3160,2350,5510,2,24.8,0.07,1.14,10,높음,창원 이혼 변호사
사실혼기준,1450,3710,5160,1.9,34,0.15,0.98,7,높음,재산분할 변호사
인천형사전문변호사,1770,3380,5150,1.6,5.8,0.1,0.18,10,높음,창원 형사전문변호사 | 창원 형사 변호사
인천이혼전문변호사,3020,2120,5140,1.4,14.4,0.06,0.71,10,높음,창원 이혼 변호사
장애인복지법,3620,1240,4860,0.9,5.8,0.03,0.5,10,높음,모욕죄 변호사
수원이혼전문변호사,3010,1680,4690,3.4,28.2,0.13,1.78,10,높음,창원 이혼 변호사
부산이혼변호사,740,3740,4480,0.9,19.8,0.13,0.57,10,높음,창원 이혼 변호사
울산변호사,1380,3090,4470,3.1,16.6,0.25,0.56,10,높음,창원 변호사
의부증,550,3820,4370,0,3.8,0,0.11,10,높음,재산분할 변호사
황혼이혼,2040,2190,4230,1.3,13.4,0.08,0.67,10,높음,재산분할 변호사
마약변호사,1040,3150,4190,1.5,10.8,0.16,0.36,10,높음,마약 변호사
서울이혼전문변호사,2740,1280,4020,0.8,4.8,0.04,0.4,10,높음,창원 이혼 변호사
대전이혼전문변호사,2000,1940,3940,1.2,19.8,0.07,1.1,10,높음,창원 이혼 변호사
제주변호사,830,3090,3920,1.5,12,0.21,0.41,10,높음,창원 변호사
수원형사변호사,1290,2570,3860,0.2,3.4,0.02,0.15,10,높음,창원 형사전문변호사 | 창원 형사 변호사
남양주변호사,1650,2190,3840,0.9,8,0.07,0.39,10,높음,창원 변호사
수원형사전문변호사,1980,1800,3780,0.7,7.6,0.04,0.43,10,높음,창원 형사전문변호사 | 창원 형사 변호사
정보통신망법,2220,1450,3670,0.4,2.6,0.02,0.2,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
합의이혼재산분할,1260,2400,3660,2,27.2,0.19,1.22,10,높음,재산분할 변호사
물환경보전법,3050,480,3530,0.9,1.3,0.03,0.27,7,높음,마약 변호사
이혼서류양식,1100,2390,3490,5.2,17,0.51,0.78,10,높음,재산분할 변호사
창원변호사,1900,1530,3430,2.6,19.2,0.15,1.36,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
명예훼손성립요건,700,2730,3430,1.6,29.8,0.24,1.16,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
사실혼재산분할,1350,2070,3420,1.8,46.8,0.16,2.41,10,높음,재산분할 변호사
천안변호사,1100,2260,3360,0.9,16,0.09,0.75,10,높음,창원 변호사
사실혼관계증명서,1580,1660,3240,1.3,12,0.1,0.78,10,높음,재산분할 변호사
허위사실유포죄,530,2670,3200,2.2,31.6,0.44,1.25,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
이혼시재산분할,1510,1640,3150,0.5,24.6,0.04,1.6,10,높음,재산분할 변호사
광주변호사,1060,2070,3130,1.4,12.2,0.14,0.63,10,높음,창원 변호사
화학물질관리법,2720,380,3100,0.7,2.8,0.03,0.77,10,높음,마약 변호사
부산형사변호사,910,2150,3060,0.4,6.6,0.05,0.33,10,높음,창원 성범죄 변호사 | 창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
협의이혼신청서,980,2030,3010,2.4,12.6,0.27,0.67,10,높음,재산분할 변호사
제주성범죄변호사,50,2920,2970,0,1.4,0,0.06,10,높음,창원 성범죄 변호사
인천이혼변호사,1520,1430,2950,1.4,16.2,0.1,1.18,10,높음,창원 이혼 변호사
모욕,470,2480,2950,0,2.6,0,0.12,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
수원음주운전변호사,1610,1330,2940,0.1,1.2,0.01,0.1,10,높음,창원 음주운전 변호사
위험물안전관리법,2390,520,2910,0.6,0.5,0.03,0.1,10,높음,마약 변호사
대전형사전문변호사,970,1920,2890,1,5.2,0.12,0.29,10,높음,창원 형사전문변호사 | 창원 형사 변호사
부천변호사,910,1960,2870,1.4,11,0.17,0.6,10,높음,창원 변호사
의정부이혼전문변호사,1660,1130,2790,0.7,6.8,0.05,0.65,10,높음,창원 이혼 변호사
대구성범죄변호사,2350,430,2780,0.4,6.4,0.02,1.53,10,높음,창원 성범죄 변호사
청주이혼변호사,1840,940,2780,1,9,0.06,1.04,10,높음,창원 이혼 변호사
고양변호사,310,2410,2720,0.2,0.6,0.07,0.03,10,높음,창원 변호사
안산변호사,600,2110,2710,1.4,12.4,0.25,0.63,10,높음,창원 변호사
창원이혼전문변호사,1440,1260,2700,0.4,16.8,0.03,1.42,10,높음,창원 이혼 변호사 | 창원 변호사
유책배우자,1000,1690,2690,0.5,10.6,0.06,0.66,10,높음,재산분할 변호사
사이버폭력사례,1400,1260,2660,1.8,9,0.13,0.72,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
도박중독,650,1970,2620,0.5,3.6,0.09,0.2,10,높음,마약 변호사
상속재산분할협의서양식,1440,1180,2620,2.8,7.4,0.21,0.67,10,높음,재산분할 변호사
수원이혼변호사,1350,1190,2540,1.9,14.6,0.15,1.32,10,높음,창원 이혼 변호사
부산성범죄변호사,1030,1440,2470,1.9,8.2,0.2,0.61,10,높음,창원 성범죄 변호사
풍기문란,450,1980,2430,0,0,0,0,7,높음,창원 성범죄 변호사
마약검사,520,1900,2420,0,3.6,0,0.2,10,높음,마약 변호사
대구이혼변호사,1020,1330,2350,2,12.2,0.22,0.97,10,높음,창원 이혼 변호사
성남변호사,490,1820,2310,0.5,2.6,0.11,0.16,10,높음,창원 변호사
협의이혼재산분할,1110,1190,2300,0.8,11.2,0.09,1,10,높음,재산분할 변호사
인천성범죄변호사,1380,910,2290,0.1,4.6,0.01,0.51,10,높음,창원 성범죄 변호사
협의이혼의사확인신청서,1500,760,2260,1.9,1,0.14,0.15,10,높음,재산분할 변호사
평택변호사,800,1450,2250,3,16.4,0.44,1.18,10,높음,창원 변호사
사실혼관계,1130,1070,2200,0,7.4,0,0.73,10,높음,재산분할 변호사
이혼합의서양식,1260,930,2190,5,11,0.46,1.29,10,높음,재산분할 변호사
황혼이혼재산분할,1070,1110,2180,0.6,6.6,0.07,0.64,10,높음,재산분할 변호사
위자료,460,1670,2130,0.1,2.8,0.03,0.18,10,높음,재산분할 변호사
서초변호사,820,1300,2120,0.1,2.4,0.02,0.19,10,높음,창원 변호사
청주이혼전문변호사,1130,950,2080,1.5,6.8,0.16,0.76,10,높음,창원 이혼 변호사
구미변호사,1180,890,2070,0.5,9.2,0.05,1.06,10,높음,창원 변호사
울산이혼전문변호사,660,1380,2040,0.1,11.6,0.02,0.91,10,높음,창원 이혼 변호사 | 창원 변호사
불기소,620,1410,2030,0.1,3.4,0.03,0.25,7,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
인천음주운전변호사,1180,840,2020,0.4,7.6,0.04,0.97,10,높음,창원 음주운전 변호사
협의이혼서류양식,800,1210,2010,2.3,7.4,0.31,0.65,10,높음,재산분할 변호사
부천이혼전문변호사,1150,850,2000,0,3,0,0.38,10,높음,창원 이혼 변호사
친권포기,980,1020,2000,0,4.6,0,0.49,10,높음,재산분할 변호사
국민체육진흥법,1330,650,1980,0.5,1.6,0.04,0.25,10,높음,마약 변호사
재산분할,1330,640,1970,1.1,4.8,0.1,0.81,10,높음,재산분할 변호사
재산분할소송,1380,590,1970,0.5,2.2,0.05,0.38,10,높음,재산분할 변호사
양육권소송,990,980,1970,0.1,4.2,0.02,0.44,10,높음,재산분할 변호사
의정부변호사,930,1010,1940,2.6,12.4,0.31,1.28,10,높음,창원 변호사
청주변호사,760,1170,1930,1.4,23.6,0.2,2.1,10,높음,창원 변호사
광주이혼전문변호사,800,1120,1920,1.2,20.4,0.16,1.95,10,높음,창원 이혼 변호사
대전음주운전변호사,590,1320,1910,0.3,2.4,0.06,0.2,10,높음,창원 음주운전 변호사
대구형사변호사,1440,460,1900,1.2,4.6,0.09,1.01,10,높음,모욕죄 변호사
